업종;절대효과;상대효과;p-value
담배소매업;2.58;9.23%;0.25
방문판매업;2.41;-364.1%;0.19
약국;-0.48;-100.0%;0.0
옥외광고업;2.16;35.38%;0.1
쓰레기종량제봉투판매업;2.16;35.38%;0.11
당구장업;1.53;-289.11%;0.0
체육도장업;0.97;352.66%;0.02
축산가공업;4.1;2651.53%;0.0
수영장업;-0.46;-64.73%;0.11
국내외여행업;3.33;-250.91%;0.0
골프연습장업;0.82;-1224.3%;0.0
고압가스업;4.81;130.6%;0.0
체력단련장업;0.29;-693.53%;0.11
분뇨수집운반업;-0.25;-100.0%;0.02
단독정화조/오수처리시설설계시공업;0.11;29.46%;0.22
대기오염물질배출시설설치사업장;1.33;200.44%;0.02
개인하수처리시설관리업(사업장);-0.02;-100.0%;0.48
종합체육시설업;0.33;-395.91%;0.0
관광숙박업;1.9;1908.24%;0.0
축산판매업;0.2;9.6%;0.37
국내여행업;1.44;-209.07%;0.0
통신판매업;82.94;238.31%;0.0
비디오물시청제공업;82.94;238.31%;0.0
영화상영관;0.3;-100.0%;0.14
부화업;-0.2;-44.63%;0.05
비디오물감상실업;-0.2;-44.63%;0.05
동물병원;0.24;92.55%;0.08
공연장;0.24;92.55%;0.06
대규모점포;-0.24;-100.0%;0.06
노래연습장업;-0.05;-6.54%;0.47
일반게임제공업;0.41;-256.45%;0.11
저수조청소업;0.82;-255.07%;0.0
식육포장처리업;-0.03;-3.25%;0.48
무도학원업;0.44;143.29%;0.0
인쇄사;0.44;143.29%;0.0
가축사육업;43.44;314.57%;0.0
담배수입판매업체;0.43;585.34%;0.02
가축분뇨 수집운반업;0.43;585.34%;0.02
사료제조업;-0.18;-15.2%;0.34
일반유원시설업;0.08;-100.0%;0.34
석유판매업;0.04;0.72%;0.47
액화석유가스용품제조업체;0.43;-240.68%;0.0
관광사업자;0.26;-100.0%;0.2
게임물제작업;0.26;-100.0%;0.19
게임물배급업;0.26;-100.0%;0.2
건설폐기물처리업;0.26;-100.0%;0.17
담배도매업;0.26;-100.0%;0.17
동물용의약품도매상;0.26;-100.0%;0.2
출판사;0.32;172.82%;0.03
안경업;0.32;172.82%;0.02
의원;0.06;6.56%;0.4
용기냉동기특정설비;0.88;-698.55%;0.0
축산물보관업;-0.07;-100.0%;0.32
가축인공수정소;1.15;-761.6%;0.0
인터넷컴퓨터게임시설제공업;1.23;-125.46%;0.11
부속의료기관;1.23;-125.46%;0.09
소독업;2.04;956.62%;0.0
의료유사업;0.32;182.08%;0.13
청소년게임제공업;-0.01;-4.61%;0.47
빙상장업;-0.01;-4.61%;0.48
전화권유판매업;-0.62;-33.17%;0.21
종축업;-0.4;-100.0%;0.01
종합여행업;1.47;-662.77%;0.08
의료기기판매(임대)업;2.39;149.06%;0.0
승마장업;0.08;48.98%;0.3
외국인전용유흥음식점업;-0.17;-100.0%;0.07
산후조리업;-0.63;-38.57%;0.08
썰매장업;-0.02;-100.0%;0.45
동물판매업;0.77;-148.52%;0.0
시내순환관광업;0.77;-148.52%;0.0
관광유람선업;0.27;-1663.15%;0.02
의료기기수리업;0.2;-100.0%;0.09
승강기유지관리업체;0.31;-100.0%;0.14
종합유원시설업;0.31;-100.0%;0.14
안전상비의약품 판매업소;0.55;57.73%;0.19
요양보호사교육기관;0.55;57.73%;0.19
관광펜션업;0.55;57.73%;0.19
영화제작업;0.55;57.73%;0.18
장례지도사 교육기관;0.55;57.73%;0.19
환경측정대행업;0.55;57.73%;0.2
급수공사대행업;0.55;57.73%;0.18
유원시설업(기타);-0.28;-35.74%;0.16
대중문화예술기획업;1.07;-337.18%;0.0
병원;0.01;5.46%;0.44
후원방문판매업체;-0.42;-100.0%;0.02
계량기증명업;0.02;8.48%;0.49
동물약국;-0.11;-100.0%;0.23
외국인관광도시민박업;0.52;231.81%;0.06
관광공연장업;0.52;231.81%;0.06
일반야영장업;0.2;19.17%;0.3
승강기제조및수입업체;0.38;322.95%;0.0
수질오염원설치시설(기타);0.1;-100.0%;0.23
물류창고업체;0.1;-100.0%;0.26
다단계판매업체;0.1;-100.0%;0.24
자동차야영장업;-0.3;-100.0%;0.04
축산물운반업;0.01;-100.0%;0.47
동물수입업;0.01;-100.0%;0.47
의료기관세탁물처리업;0.29;-100.0%;0.08
동물생산업;1.61;-446.38%;0.0
동물위탁관리업;0.63;-481.6%;0.0
도축업;-0.19;-43.15%;0.11
동물전시업;-0.19;-43.15%;0.1
농어촌민박업;-2.5;-71.41%;0.0
영화상영업;-2.5;-71.41%;0.01
동물미용업;0.55;270.0%;0.0
환경관리대행기관;0.55;270.0%;0.0
환경전문공사업;0.55;270.0%;0.0
동물운송업;0.55;270.0%;0.0
전문휴양업;0.55;270.0%;0.0
치과기공소;0.55;270.0%;0.0
동물장묘업;0.55;270.0%;0.0
집유업;0.55;270.0%;0.0
동물용의료용구판매업;0.55;270.0%;0.0
